Name,Club,Position,Overall,Predicted Overall
Atienza,SD Eibar,CM,67,66.89544163214401
16Â A. Little,Accrington Stanley,CF,61,61.10001777079516
L. O'Connor,Tranmere Rovers,RB,63,62.219786642591814
M. Juwara,Crotone,CAM,67,69.36412788697297
J. Tverskov,Odense Boldklub,CB,69,68.89973077918461
A. PeroÅ¡eviÄ,SC East Bengal FC,LW,63,63.156723078813286
F. Di Mariano,Lecce,CAM,66,67.28321671422354
G. Leigh,Morecambe,LB,65,64.99005860282571
A. Ounahi,Angers SCO,CAM,62,62.66451358087724
M. Al Najrani,Ettifaq FC,RW,59,59.137767141815026
21Â B. Kamau,Western Sydney Wanderers,RW,62,61.89972070297865
I. Kutepov,Spartak Moskva,CB,71,70.89990465202969
19Â L. D'Ath,Milton Keynes Dons,RW,62,61.095545298240125
Itaitinga,FC Sion,CF,65,66.35896494730876
S. Griffin,Waterford FC,CAM,56,56.100226151824295
Z. Ould Khaled,Angers SCO,CDM,64,63.30534287801274
N. Alioui,Le Havre AC,CAM,65,65.5279602433649
M. BraunÃ¶der,FK Austria Wien,CAM,59,59.8180193392223
K. Appiah,Crawley Town,CF,62,62.37851429607913
T. Akindele,Orlando City Soccer Club,CF,67,66.66829504679318
21Â G. Mebrahtu,Brisbane Roar,CF,62,61.94695295439267
14Â Adriano,Club Athletico Paranaense,CF,73,72.89976845676775
Rufo,Aalborg BK,CAM,66,65.50116561127695
G. Kilama,Chamois Niortais Football Club,CB,63,64.64046625736044
Caye Quintana,ÅlÄsk WrocÅaw,CF,66,65.90016653740385
Josema,Elche CF,CB,69,69.4258486600405
A. Koiki,Northampton Town,LB,61,60.27731293171733
A. Gordon,Everton,RW,67,66.25525668932288
21Â R. Gelmi,VVV-Venlo,CB,65,65.07671080158815
17Â E. SpahiÄ,Hamburger SV,CB,76,76.10005725211235
V. Lampropoulos,VfL Bochum 1848,CB,68,67.61723988972182
K. Angielski,Radomiak Radom,CF,64,63.60968353712079
L. ZahoviÄ,PogoÅ Szczecin,CAM,66,66.65666138874833
M. Sala,Crotone,LB,67,67.10019053340545
S. Mulattieri,Crotone,CAM,62,62.469585525012185
E. PeÃ±a Zauner,Eintracht Braunschweig,RW,63,64.3631413837834
21Â M. Ãelik,Yukatel Kayserispor,LW,68,67.89991326517499
E. MartÃ­nez,VÃ©lez Sarsfield,CB,70,69.02140788035983
A. Nuhiu,SC Rheindorf Altach,CF,66,66.10017281426182
J. Nyholm,DjurgÃ¥rdens IF,CB,65,64.90025716920918
M. Duffy,Tranmere Rovers,CAM,64,63.90015298746893
M. Bonne,Ipswich Town,CF,66,66.11033989389682
21Â I. Bouleghcha,LOSC Lille,CB,61,60.54693860260152
S. Findlay,Philadelphia Union,CB,68,67.87243626819026
J. Tchatchoua,Royal Charleroi S.C.,RW,60,60.264570470563626
Larrubia,MÃ¡laga CF,CAM,66,65.54550584088896
I. Atanga,FC Cincinnati,RW,65,64.9105420407695
F. Pfanne,Borussia Dortmund II,CB,63,63.50571506784752
21Â L. Landre,NÃ®mes Olympique,CB,72,71.8407403393821
M. HÃ¸jholt,Aalborg BK,CDM,65,63.4300865679355
S. Matthews,Crawley Town,LW,62,61.400093349572984
E. Gallardo,Toronto FC,CAM,64,63.82860309521996
A. Abeid,Valenciennes FC,LWB,65,64.42685118922697
21Â G. Cotugno,ÅlÄsk WrocÅaw,RB,63,63.04514788379646
L. JÃ¤ger,SK Sturm Graz,CB,65,65.86081759341128
Y. Merdji,Chamois Niortais Football Club,CF,65,64.79662485971394
G. Gaudino,SV Sandhausen,CAM,66,65.90019604833897
D. Barbosa,Club Atlas,RB,65,64.80241696746849
S. Nakamura,Yokohama FC,CAM,63,63.09997121687654
J. Koroma,Huddersfield Town,RW,69,68.9059884167381
I. Maggi,Racing Club,CF,66,66.01498710970297
J. Moutachy,Chamois Niortais Football Club,RWB,64,64.88971035293089
21Â R. Gestede,Melbourne Victory,CF,67,67.25633772606476
Miki Villar,UD Ibiza,CF,63,63.35970569579301
21Â B. Sanneh,Aarhus GF,CB,67,67.33502335254856
T. GalvÃ¡n,River Plate,CAM,63,63.9473505503989
D. Phillips,Gillingham,CDM,60,60.16901663357713
A. Diallo,Manchester United,CAM,68,68.1003044995811
N. Rapp,SV Werder Bremen,CB,69,69.19218252049458
J. Mina,Estoril Praia,CAM,64,63.488905605676486
Daniel Ayala,Blackburn Rovers,CB,71,70.4573019689337
S. Cook,AFC Bournemouth,CB,73,73.26831572573849
S. Gregersen,FC Girondins de Bordeaux,CB,70,69.89964307963369
M. Åatin,SV Ried,CAM,63,63.95525368888818
21Â E. Herrera,Puebla FC,CF,65,65.02989983699716
M. KopczyÅski,Warta PoznaÅ,CDM,63,62.466964931054065
Ander MartÃ­n,Real Sociedad B,LW,63,62.83941479629448
C. McAleny,Salford City,LW,64,64.10020717747408
L. Klassen,WSG Tirol,LWB,64,63.72206685717525
AntoÃ±Ã­n,MÃ¡laga CF,CF,68,68.33964676425276
B. KouyatÃ©,FC Metz,CB,73,73.05375150785764
21Â R. Å½ivkoviÄ,Guangzhou City,CF,67,66.82243079966948
I. Å araniÄ,Dinamo Zagreb,CAM,63,63.100199203897645
A. Gersbach,Grenoble Foot 38,LB,64,64.14632780804747
20Â P. Taylor,Stevenage,CF,64,64.39184246439201
19Â D. Cacia,Cesena,CF,71,70.89963102441594
O. Daedlow,TSV Havelse,RWB,61,61.93476359697074
21Â M. BaraÄ,SK Rapid Wien,CB,69,68.95391188318642
21Â V. Solomon-Otabor,Wigan Athletic,RW,64,63.61993989343612
S. Rosted,BrÃ¸ndby IF,CB,68,68.03413033434349
K. Coulibaly,FC Nantes,CF,70,69.89987090099159
M. GuÃ©hi,Crystal Palace,CB,73,72.89975225370665
M. Salisu,Southampton,CB,76,75.87794578842578
B. Barker,Rangers FC,RW,67,67.68423163035378
L. Quintana,Club Necaxa,CB,70,69.74867480861501
A. Giannou,AC Milan,CF,66,66.0340380804252
L. Isgrove,Bolton Wanderers,RW,65,64.66852302613846
M. RamÃ­rez,Godoy Cruz,CAM,68,67.77558733428069
A. Obileye,Livingston FC,CB,63,62.24830243036046
A. Herzog,Hallescher FC,RW,63,62.90014324019588
D. Males,FC Basel 1893,CAM,63,62.89967011296871
P. Zulechner,FC Erzgebirge Aue,CF,66,66.05941600458033
J. Boyamba,SV Waldhof Mannheim 07,CAM,65,65.52743977567391
A. Pieper,DSC Arminia Bielefeld,CB,75,74.78267239859889
J. Carranza,Inter Miami CF,CF,66,66.26097335154097
S. Strand,IF Elfsborg,LB,67,66.8664026771143
T. McIntyre,Reading,CB,69,69.10021679238734
L. VÃ¡squez,Junior FC,CDM,71,70.899748448595
M. Gouaida,SV Waldhof Mannheim 07,LW,63,63.45643584991042
D. Gissi,UniÃ³n de Santa Fe,CB,66,66.10006592070515
17Â N. Oduamadi,AC Milan,RW,65,66.20484727816878
21Â S. Scannell,Grimsby Town,RW,61,60.98279446635189
A. Lewis,Livingston FC,LB,61,61.413906248877495
J. Kitolano,Odds BK,LWB,64,64.43142758145657
Pulido,SD Huesca,CB,75,74.76496162798703
M. Acosta,GuaireÃ±a FC,CAM,58,58.98257507433144
T. White,Barrow,CDM,58,58.66994444341503
21Â Tana,Albacete BP,CAM,67,67.56077611510143
C. Morton,Fleetwood Town,CF,63,62.94101163658411
Arnau MartÃ­nez,Girona FC,CB,66,66.10028141605244
21Â W. Kanon,AC Milan,CB,70,69.40628810927753
J. Serra,DSC Arminia Bielefeld,CF,72,71.70591244062955
R. VikstÃ¸l,Viking FK,LB,64,64.58919376556742
BenÃ­tez,MÃ¡laga CF,RB,65,64.89972735327659
G. Ganea,FC Farul ConstanÈa,CF,64,65.01744034017135
Jiang Guangtai,Guangzhou FC,CB,68,69.25787262128131
20Â J. Cranston,Morecambe,LWB,61,61.475296652614354
Nabil Touaizi,RCD Espanyol de Barcelona,CAM,63,64.0682726666314
O. Campos,Santos Laguna,LW,62,61.596329475364456
G. OrtÃ­z,Godoy Cruz,CB,71,71.10006556489596
J. BiegaÅski,Lechia GdaÅsk,CB,64,63.146396863529176
A. MeleÃ¡n,Club Deportivo Jorge Wilstermann,CB,70,69.89996338047415
K. KanatsÄ±zkuÅ,Yeni Malatyaspor,CF,67,67.7449168090748
S. Plaza,Independiente del Valle,CF,66,66.3742895179463
Adri Castellano,SD Ponferradina,CB,66,67.93115049763033
J. Jeanvier,Brentford,CB,70,68.98945702456707
S. Delaye,Montpellier HÃ©rault SC,CAM,60,60.10015340426143
P. CissÃ©,Olympiacos CFP,CB,76,75.89984198991485
21Â S. Martin,Hamilton Academical FC,CM,61,61.10016103528666
S. Magkeev,FC Lokomotiv Moscow,CB,71,71.76949589267217
20Â S. Palombi,US Cremonese,CF,66,65.58865193657181
A. Mostovoy,AC Milan,RW,69,69.09986140811384
L. MÃ¼nst,FC St. Gallen 1879,CM,61,60.72234058844822
Garrido,CÃ¡diz CF,CDM,72,71.89982788106477
M. Retegui,Club AtlÃ©tico Talleres,CF,69,68.89985203378329
R. Negru,FC U Craiova 1948,RWB,65,65.09988252114596
21Â F. SÃ¸rensen,1. FC KÃ¶ln,CB,71,71.7288147035696
W. Coulibaly,Parma,CB,66,64.97696249949443
U. GÃ¼neÅ,Aytemiz Alanyaspor,CM,60,61.037367621055665
H. Finndell,DjurgÃ¥rdens IF,RW,60,61.57469620065874
E. Bove,Roma,CM,61,60.89975481313546
C. CÃ®rjan,Arsenal,CAM,62,62.90821736263091
Kaio Jorge,Juventus,CF,69,68.89995287195752
20Â M. Yanga-Mbiwa,Olympique Lyonnais,CB,72,71.7876543299582
A. Doughty,Stoke City,LWB,66,66.16301869147506
A. Osorio,Club Universitario de Deportes,CF,66,66.0999576301481
D. van den Berg,FC Utrecht,CDM,60,60.27100918998321
K. Arnstad,RSC Anderlecht,CAM,61,61.42662538767075
Yayo,Real Oviedo,CAM,60,59.646501544101284
P. Brough,Barrow,LWB,63,63.002721495648466
C. Oduor,Barnsley,LWB,63,63.1739238388042
E. Herrera,Argentinos Juniors,CF,70,70.01210978090667
A. Herrera,Real Salt Lake,CB,66,66.59888076052569
D. Torres,Gallos Blancos de QuerÃ©taro,CDM,61,61.74827180986923
Y. Suzuki,Shimizu S-Pulse,CAM,63,62.186461880231654
C. Musonda,Chelsea,CAM,72,71.9003223483316
Y. Malede,KAA Gent,CF,66,66.16318824371945
T. Francois,Fulham,CAM,61,61.65045575930188
R. Oxford,FC Augsburg,CB,70,69.93334148703109
H. Delcroix,RSC Anderlecht,CB,71,70.89982911587117
J. Scally,Borussia MÃ¶nchengladbach,RB,65,65.35021843753312
L. Schuster,SK Rapid Wien,CB,64,63.86559033120758
O. Turton,Huddersfield Town,RWB,65,63.75759712882052
18Â A. Koryan,FC Lokomotiv Moscow,RW,64,64.79130068921356
Jorge Mier,Real Oviedo,RB,63,63.08531014674217
21Â Delgado,C.D. CastellÃ³n,CB,65,64.90005812680371
M. SkÃ³raÅ,Lech PoznaÅ,RW,65,64.39157852702951
Y. Ãetin,Hellas Verona,CB,71,71.53905799427288
W. Grigg,Rotherham United,CF,64,64.27092993937853
N. Sundberg,Ãstersunds FK,CB,67,66.83196391973136
H. Tangen,Viking FK,RW,60,60.54027775286291
21Â B. Karagaren,AC Milan,RW,64,63.19843454391199
K. Watanabe,Yokohama FC,CF,64,64.10031020288221
F. Colidio,Inter,CAM,66,67.1588804372281
M. Reinthaler,FSV Zwickau,CB,63,63.07340401925059
21Â M. Mendler,1. FC SaarbrÃ¼cken,LW,63,62.41664017977917
E. Simms,Everton,CF,65,64.72054894687511
M. Kamara,AtakaÅ Hatayspor,CF,66,67.01646670688251
O. Mendoza,Gallos Blancos de QuerÃ©taro,LB,66,66.100207321996
21Â D. Bejarano,AC Milan,RW,63,63.26207421313319
Y. Orozco,Club Deportes Tolima,LW,67,66.53437767103101
T. Tillman,SpVgg Greuther FÃ¼rth,CAM,65,65.93338064266133
G. Rea,Luton Town,CB,69,70.83897875381832
N. Zalewski,Roma,CAM,63,62.90000378718163
F. Cobos,Patronato,LB,66,65.2072593980292
C. Gustafsson,Kalmar FF,CM,64,63.85537366066025
A. Zapata,CF Monterrey ,CM,60,59.89991288536046
20Â M. Coppolaro,Virtus Entella Chiavari,RB,66,65.24558411057144
T. Somers,KSV Cercle Brugge,RW,65,64.4704286077224
20Â C. Henao,Rionegro Ãguilas,CB,69,68.35407121594328
N. Bakboord,Heracles Almelo,RB,65,64.89985220052857
J. Lescano,Brisbane Roar,CF,65,64.30782428285549
A. Riccardi,Roma,CAM,62,61.62891588164207
S. Van Dessel,Sint-Truidense VV,CAM,61,61.267680222499784
I. Bronkhorst,N.E.C. Nijmegen,RB,64,64.36413512220265
21Â O. Velanas,FC Utrecht,CAM,62,62.06355683619205
F. Kunze,DSC Arminia Bielefeld,CB,70,70.81945129965729
Milson,Clube Sport MarÃ­timo,CAM,65,65.10029786967362
S. Sow,Sheffield Wednesday,CF,66,65.59015362730568
S. Conteh,1. FC Magdeburg,RW,63,62.15887760528845
S. Iacoponi,Parma,RB,70,70.10013241441256
21Â S. DrÄghici,Campionii FC Arges,RW,62,61.363249938003946
D. Sarmiento,Girona FC,LW,65,64.89995403599372
L. Brochero,Club AtlÃ©tico Central CÃ³rdoba,RW,64,63.725957823891335
M. Hannesbo,Aalborg BK,LW,59,58.89972220968575
S. Lorenz,Holstein Kiel,CB,68,68.10018195339244
F. Apaolaza,Estudiantes de La Plata,CF,69,68.79904777900555
F. Antonucci,Feyenoord,CAM,65,65.76004779515975
R. Bowman,Shrewsbury Town,CF,64,63.655267010448654
J. Mvondo,GÃ³rnik Zabrze,CDM,63,63.01457299098453
S. Kaya,Yeni Malatyaspor,CB,68,67.54639630195953
M. Äovilo,FC Lugano,CB,65,65.77538152042942
R. McKenzie,Gillingham,CB,63,63.10012151378293
21Â D. Djigla,Chamois Niortais Football Club,LW,60,60.20543819123759
19Â P. Crouch,Burnley,CF,72,71.32535232987992
19Â L. Mchedlidze,Empoli,CF,70,68.82218667387991
S. Ay,Ãaykur Rizespor,CB,68,67.5957656708686
J. Palomino,Atalanta,CB,77,76.67864578882791
21Â L. Varney,Burton Albion,CF,60,60.70991144676644
Roberto LÃ³pez,Real Sociedad B,CAM,70,70.09998498380496
B. Mitchell,Millwall,CM,63,62.41904918425783
21Â G. Roberts,Accrington Stanley,CAM,63,62.81482092223138
ï¿½. VlÄdoiu,Universitatea Craiova,RB,68,67.85644497513285
A. Gaich,SD Huesca,CF,70,69.97659945218513
20Â M. GarcÃ­a,UniÃ³n Deportiva Las Palmas,LW,69,68.89996317733397
21Â L. Dennis,Leyton Orient,LW,61,61.1730378530581
I. MesÃ­k,StabÃ¦k Fotball,CDM,62,62.782183172472386
D. Willms,FSV Zwickau,LW,60,61.99724334864783
M. NuÃ±ez,Universidad CatÃ³lica,CAM,62,62.7005266241777
B. Rubio,MazatlÃ¡n Futbol Club,CF,66,66.46349157667461
Pablo Santos,Moreirense FC,CB,74,74.51774102421946
21Â A. Marin,AC Monza,CAM,67,66.40382041071803
J. KaÅuziÅski,Lechia GdaÅsk,CAM,59,58.32073574668338
D. Cleonise,FC Twente,RW,65,65.14121297194438
S. SÃ¸rli,FK BodÃ¸/Glimt,LW,65,65.05796518137501
Erik ExpÃ³sito,ÅlÄsk WrocÅaw,CF,67,67.10011274327225
B. Angulo,Cruz Azul,CF,70,69.8996038592479
21Â V. Thill,CD Nacional,LW,65,65.25810682653797
O. Beyaz,VfB Stuttgart,CAM,63,62.982112007319586
A. Elanga,Manchester United,CAM,65,65.64019401711606
P. CÃ¡rdenas,Club de Deportes Cobresal,CDM,63,63.027614616197106
21Â V. Lystsov,FC Lokomotiv Moscow,CB,66,66.3447037181338
A. Gravillon,Stade de Reims,CB,72,72.02232030656451
J. Bauman,Independiente del Valle,CF,68,67.89975821619032
O. Herrera,Club Atlas,CF,64,63.703303352503
I. Cristea,FCSB (Steaua),CB,70,69.4571374301751
W. Swedberg,Hammarby IF,CAM,58,58.26708021348636
J. Kay,Barrow,LWB,62,60.97899827656195
N. Backman,Aarhus GF,CB,66,66.10017035582422
A. Lebeau,SV Waldhof Mannheim 07,CAM,60,59.964077750260444
O. Dale,Blackpool,RW,66,65.42697006906549
A. Rami,ESTAC Troyes,CB,72,72.10007822253067
21Â G. Tsitaishvili,Dynamo Kyiv,LW,72,71.90036256329549
E. Riis,Preston North End,CF,68,68.10027686610934
E. Uhlmann,RB Leipzig,CDM,59,59.10016174460789
P. Parzyszek,PogoÅ Szczecin,CF,67,67.03267711480332
F. Fydriszewski,Sociedad Deportiva Aucas,CF,70,70.0318384530441
R. Ascone,LOSC Lille,CAM,61,61.075581511530444
Rodri TarÃ­n,CD LeganÃ©s,CB,70,71.29707603312764
21Â M. Arroyo,Barcelona Sporting Club,LW,66,66.09989408086055
D. Hayashi,Sint-Truidense VV,CF,64,63.860455680706444
S. Berhalter,Austin FC,CAM,59,58.765839156929744
Anderson Oliveira,Portimonense SC,CAM,68,67.99259797189757
V. Demaku,FK Austria Wien,CDM,66,65.56136609360911
N. Å ipÄiÄ,CD Tenerife,CB,68,69.3016272896798
19Â V. Jalasto,HJK Helsinki,CB,64,65.00080905704776
A. Semenyo,Bristol City,RW,68,67.83193154578265
J. Lascelles,Newcastle United,CB,77,77.7146056988148
Sillero,Athletic Club de Bilbao,CB,63,64.87982506402317
M. Ugalde,FC Twente,CF,65,64.582646699825
M. Harness,Portsmouth,RW,67,66.89985123395952
V. Trummer,SK Sturm Graz,CB,64,62.897961339077746
15Â R. Ferdinand,Queens Park Rangers,CB,75,75.10004261310793
H. McKirdy,Swindon Town,RW,62,62.09984630217926
A. Silyanov,FC Lokomotiv Moscow,RB,69,67.96626481007105
J. Herrera,Club AtlÃ©tico Independiente,CF,70,70.10001051074964
M. Sangare,Newcastle United,CDM,58,60.34845637948255
Pablo Moreno,Girona FC,CF,68,67.91302185910443
A. Gryszkiewicz,GÃ³rnik Zabrze,CB,65,64.73360855984595
RubÃ©n,UD Ibiza,CB,66,65.31628075907196
O. Batista Meier,FC Bayern MÃ¼nchen,CAM,65,66.45189075087313
21Â C. Palacios,AC Milan,CAM,65,65.25575127671662
F. Barba,Benevento,CB,71,70.98252070834343
Marcos Mauro,CÃ¡diz CF,CB,72,71.8997056667936
T. BÃ¸rkeeiet,BrÃ¸ndby IF,CB,62,61.90022135557295
I. Å aponjiÄ,AtlÃ©tico de Madrid,CF,71,71.36540871393454
21Â A. Mariappa,Bristol City,CB,71,70.24927575699937
B. TraorÃ©,FC Metz,CM,61,61.032002737665735
21Â I. Goranov,Royal Charleroi S.C.,LB,66,64.86161693564843
G. Zelalem,New York City FC,CAM,63,63.42328534627722
21Â G. GonzÃ¡lez,LA Galaxy,CB,68,68.09970202858464
S. Odey,Randers FC,CF,65,65.10023487443358
S. Diallo,Forest Green Rovers,CAM,59,59.79706949014131
N. De Medina,DSC Arminia Bielefeld,CB,66,66.06924634318807
18Â C. Varrault,Dijon FCO,CB,69,68.89968610169696
I. Gharbi,Paris Saint-Germain,CAM,63,62.900224281713
Q. Merlin,FC Nantes,CAM,60,59.68305687935832
C. Luyindama,Galatasaray SK,CB,75,74.900226886656
M. Mathisen,IK Sirius,CDM,65,65.21842521779242
N. Anderton,Bristol Rovers,LB,62,61.68840043766959
A. Organista,Club Deportivo Guadalajara,CAM,60,59.82438161252377
T. Thomas,Crewe Alexandra,CB,64,65.45408720197155
K. Skaanes,SK Brann,RW,63,61.5457083241257
O. Ba,Olympiacos CFP,CB,73,72.89980808751757
21Â V. Regini,U.C. Sampdoria,CB,68,67.75298399213405
M. Amundsen,New York City FC,LWB,63,63.20766655466337
B. BiaÅek,VfL Wolfsburg,CF,68,68.01889991248213
A. Jacobsen,SÃ¸nderjyskE,CF,67,67.66389850154826
D. Abels,Sparta Rotterdam,CB,69,69.10001572906923
M. Rivera,AS Saint-Ãtienne,CAM,65,64.89989314835029
O. Heil,Go Ahead Eagles,RW,62,61.39266333890296
P. Abraham,FC Groningen,CF,65,65.8997353203851
S. Lagsir,PEC Zwolle,RW,62,61.90871904566754
S. Abdul Samad,Kerala Blasters FC,CAM,60,60.24335145846765
Z. Duncan,Aarhus GF,CM,61,61.63396687261788
Jucie Lupeta,FC BotoÅani,CF,62,62.037859794666744
20Â M. LÃ³pez,AtlÃ©tico Huila,LW,62,61.899629328085915
D. Udoh,Shrewsbury Town,CF,62,62.287624492861454
T. Sang,Cardiff City,RWB,63,62.76369197114504
I. Seck,SV Zulte Waregem,CB,70,70.46593098181134
J. Giraudon,ESTAC Troyes,CB,70,69.34435826210445
20Â S. De Petter,Sint-Truidense VV,CB,66,65.90015642722241
TomÃ¡s Esteves,FC Porto,RB,67,67.10021443615236
20Â P. Tschernegg,TSV Egger Glas Hartberg,CDM,64,64.10011057420866
U. Bapoh,VfL OsnabrÃ¼ck,CF,63,63.54765998174656
T. Parrott,Milton Keynes Dons,CF,64,64.0908431375419
L. Maloney,Borussia Dortmund II,CB,64,63.298407498014136
P. Nowack,FC Erzgebirge Aue,CAM,58,58.247744343705534
S. Tigges,Borussia Dortmund,CF,66,66.44696209066375
20Â R. Gabriel,Abha Club,CDM,66,65.76700353135881
G. Guiffrey,Gimnasia y Esgrima La Plata,CB,67,67.73123347902556
S. Abdullahi,1. FC Union Berlin,CF,67,66.90040350304615
20Â I. Rojas,Envigado FC,CDM,63,63.6044746603579
21Â MarcÃ£o,Hebei FC,CF,72,71.8998929110739
19Â J. Flannigan,Burton Albion,CAM,61,60.89978046317264
G. Simeone,AtlÃ©tico de Madrid,CF,65,65.09154156152569
H. Lawrence,AFC Wimbledon,RB,62,61.90630641708981
J. Moe,StabÃ¦k Fotball,LB,64,63.80281182093426
F. Escobar,AD AlcorcÃ³n,CB,66,67.43123880424007
H. Coulson,Ipswich Town,LWB,66,66.59236244523905
21Â R. Holmes,Southend United,LW,62,61.902046922575025
T. Gulliksen,StrÃ¸msgodset IF,CAM,60,60.417237505392514
O. Solbakken,FK BodÃ¸/Glimt,LW,66,65.9288051812073
21Â N. Ajose,Exeter City,CF,61,60.89978605164444
D. Connolly,Northampton Town,RW,62,61.8998845726818
17Â Lopo,GimnÃ stic de Tarragona,CB,70,70.10017980510342
Oriol Busquets,Clermont Foot 63,CDM,67,67.5084207514612
21Â G. Mastinu,Spezia,CAM,67,66.6909638264125
21Â S. Kverkvelia,FC Lokomotiv Moscow,CB,75,74.89974490986377
S. Khelifi,FC ZÃ¼rich,RW,65,65.09219564946984
J. Flores,CD Antofagasta,RW,68,68.10016763251217
Esquerdo,Valencia CF,CAM,66,64.64211834845955
G. Kilkenny,AFC Bournemouth,CAM,61,61.34230420635083
H. Khabra,Kerala Blasters FC,RB,59,58.94635586368999
JosÃ© LeÃ³n,CD Tenerife,CB,67,68.52619781772131
D. Rodney,Port Vale,RW,63,63.89038013784534
F. Cassata,Genoa,CM,67,67.1000515109117
K. Hansen,StabÃ¦k Fotball,CAM,62,62.03163507593881
F. GarcÃ©s,Club AtlÃ©tico ColÃ³n,CB,72,71.50351866054082
S. Candia,GuaireÃ±a FC,CB,70,69.60776141193418
K. Kostadinov,StabÃ¦k Fotball,CAM,59,59.58113777229732
L. Schneider,FC WÃ¼rzburger Kickers,CB,62,61.899738086914574
A. MÃ©ndez,FC Vizela,CAM,62,61.899995478437575
S. Babkin,FC Lokomotiv Moscow,CM,62,62.100130806989824
F. KonatÃ©,Futebol Clube de FamalicÃ£o,RB,64,63.741988930155735
P. Neumann,Holstein Kiel,RB,68,67.25530153146195
S. Ring,Kalmar FF,LWB,64,63.09494127652085
S. YlÃ¤tupa,AIK,LW,65,65.38301573848614
W. Geubbels,FC Nantes,CF,67,66.7233117179043
P. MÃ©liande,Pau FC,CAM,60,60.01915082704026
C. Richards,TSG Hoffenheim,CB,71,70.78942417668264
Marc Gual,AD AlcorcÃ³n,CF,68,67.91329808731959
T. Cardona,Defensa y Justicia,CB,71,71.10022316927707
21Â J. Martin,Stevenage,LB,61,60.8998755660764
J. Vollert,Hallescher FC,CB,63,63.85380437986926
Marc BarÃ³,Real Betis BalompiÃ©,LB,64,63.44774309521421
J. Nerwinski,Vancouver Whitecaps FC,RB,66,65.89979221263681
20Â T. Moore,Colchester United,RB,62,63.650399831010596
C. Abi,En Avant de Guingamp,CF,67,66.75896713489813
R. Millen,Scunthorpe United,RB,62,61.46748990040177
D. Nunumete,SC Heerenveen,CAM,59,60.46049561719833
J. Kizzi,Sutton United,RB,59,58.715404555004426
R. Guerra,Villarreal CF,CM,64,64.10015533733274
GonÃ§alo Esteves,Sporting CP,RWB,65,65.00276890725519
G. Mastriani,Barcelona Sporting Club,CF,70,69.89961226237772
F. Jungwirth,Vancouver Whitecaps FC,CB,66,66.46085074886585
L. Grimshaw,Motherwell,RB,63,62.5908378484001
21Â P. Bhatt,AC Milan,CF,62,62.100085827629556
M. Ambrose,Atlanta United,LB,64,63.405603239542614
A. Ngouyamsa,Dijon FCO,CB,63,62.899666875919976
C. Summerville,Leeds United,RW,68,67.68710592436275
F. Ãngel,Junior FC,CM,62,61.917443169581446
21Â O. Ãzdemir,Denizlispor,RB,64,63.45703866538713
21Â A. RodrÃ­guez,AmÃ©rica de Cali,CF,65,65.2203953984576
T. Robinson,Bradford City,CF,62,62.03360733260352
C. Boli,Racing Club de Lens,CAM,65,64.90734760298214
J. Tah,Bayer 04 Leverkusen,CB,78,78.41752332674437
H. Bunn,Scunthorpe United,LW,62,62.018692525528095
M. HoÅownia,Legia Warszawa,CB,64,64.8880407246488
D. Gordon,Karlsruher SC,CB,67,67.10016425007571
N. Blandi,UniÃ³n de Santa Fe,CF,63,63.10004717912866
F. Ladapo,Rotherham United,CF,67,66.89975678680644
F. Ebosele,Derby County,RW,61,61.610506284012736
L. Bengtsson,BK HÃ¤cken,RW,65,65.01831405430443
J. Braut-Brunes,LillestrÃ¸m SK,CF,62,61.455710976637846
21Â P. GoluboviÄ,KV Kortrijk,RB,68,67.93399183982628
A. Knauff,Borussia Dortmund,RW,67,67.33910854584168
V. Lind,FC Midtjylland,LW,60,60.10018307680698
J. Russell,Chelsea,CAM,59,59.7106272852871
W. Faes,Stade de Reims,CB,73,72.84342642331816
T. Oakley-Boothe,Stoke City,CM,63,63.10011357891939
D. Churlinov,FC Schalke 04,RW,67,66.18905533349364
C. Chukwuemeka,Aston Villa,CAM,63,63.11134997068656
K. John,Everton,RB,63,62.73874426271827
D. Fofana,Molde FK,CF,63,63.42465995916211
Juan Cruz,Real Betis BalompiÃ©,CAM,66,66.04769094927704
F. Bonazzoli,US Salernitana 1919,CF,69,68.95324320704619
D. Velimirovic,SK Rapid Wien,CDM,62,61.792499729426744
H. Boussefiane,MÃ¡laga CF,RW,67,67.43157810471311
H. Mancilla,Gimnasia y Esgrima La Plata,CDM,67,66.55417696780813
21Â I. Chouaref,La Berrichonne de ChÃ¢teauroux,CAM,65,64.65390275479899
B. van Rooij,N.E.C. Nijmegen,RWB,67,66.84161613481947
A. Costa,Club AtlÃ©tico Independiente,CB,66,67.51036826014143
21Â R. GarcÃ­a,AC Milan,RW,65,65.09993193361802
21Â B. McKay,Ross County FC,CF,63,63.10015699606364
G. Aguirre,Club Atlas,CB,66,67.17737063781033
FÃ¡bio Silva,Wolverhampton Wanderers,CF,70,70.07118236130593
J. Mendes,Chamois Niortais Football Club,CF,61,61.0706098064042
A. Lyons,Bohemian FC,RB,62,61.613505234107414
T. Kiss,SC Cambuur,CAM,66,66.8135816961583
A. Amade,KV Oostende,RW,63,63.74791963595907
T. Mengi,Manchester United,CB,64,65.82079762365207
L. MÃ¼hl,FK Austria Wien,CB,69,69.77895314521591
18Â S. Larsson,Kalmar FF,CB,61,61.10008146398878
E. Botka,FerencvÃ¡rosi TC,RB,72,71.03522875372272
